text,count
cough,56
speaker,56
braid,56
cricket,56
row,56
lack,56
compass,56
press,56
reward,56
lock,56
weight,56
hall,56
stable,56
season,56
focus,56
jacket,56
plot,56
goal,56
fuss,56
pump,56
rake,55
article,55
image,55
plane,55
reserve,55
pervert,55
melt,55
deliver,55
narrative,55
desire,55
bunch,55
prune,55
pipe,55
button,55
score,55
cover,55
knot,55
drill,55
base,55
assembly,55
slice,55
calf,55
pupil,54
delivery,54
drug,54
count,54
honour,54
firm,54
party,54
model,54
interior,54
structure,54
retreat,54
expire,54
volunteer,54
comb,54
highlight,54
interpret,54
spring,54
look,54
acute,54
bold,54
sink,54
pause,54
cast,54
demand,53
compatible,53
alien,53
prime,53
preserve,53
revenge,53
custody,53
plain,53
on,53
basketball,53
fart,53
bark,53
deduction,53
link,53
execute,53
cunt,53
conduct,53
punch,53
flash,53
fluid,53
spell,53
pin,53
garage,53
race,53
referee,53
control,53
crossing,53
swamp,53
Arabic,52
bug,52
giant,52
lament,52
product,52
code,52
trunk,52
compact,52
peace,52
notification,52
heart,52
tender,52
sow,52
transport,52
switch,52
average,52
back,52
boot,51
field,51
wind,51
injection,51
wave,51
relief,51
cream,51
crease,51
breach,51
shift,51
stain,51
power,51
mine,51
wing,51
hit,51
smart,51
presentation,51
varnish,51
channel,51
coke,51
solution,51
drive,51
thick,51
hell,50
equivalent,50
star,50
white,50
promotion,50
blue,50
odd,50
gossip,50
change,50
platform,50
microwave,50
wear,50
plug,50
surrender,50
no,50
lawyer,50
bun,50
sponge,50
glass,50
minor,50
phase,50
Muslim,50
caterpillar,50
dip,50
wash,50
location,50
stress,50
limit,50
secure,50
globe,50
adopt,50
bread,50
sharp,49
composition,49
body,49
lost,49
spot,49
pick,49
engage,49
rare,49
batter,49
witness,49
issue,49
transparency,49
volume,49
dandy,49
key,49
facebook,49
yellow,49
rhyme,49
quote,49
unemployed,49
construct,49
workshop,49
cat,48
recall,48
paddle,48
mainstream,48
close,48
lower,48
cheese,48
land,48
small,48
division,48
tweet,48
lever,47
scratch,47
thread,47
engagement,47
fit,47
sacrifice,47
vote,47
bus,47
matter,47
rank,47
conception,47
aggressive,47
August,47
hundredth,47
master,47
humanity,47
recruit,47
assimilation,47
round,47
penetration,47
root,47
landscape,47
often,47
exit,47
dancer,46
continual,46
estate,46
black,46
heel,46
pan,46
potential,46
September,46
extract,46
"No, thank you.",46
drag,46
Yes,46
swallow,46
mortality,46
woman,46
stall,46
element,46
joint,46
drift,45
drain,45
musical,45
immunity,45
construction,45
year,45
enter,45
February,45
stream,45
behind,45
dedication,45
fraction,45
November,45
January,45
April,45
alcoholic,45
at once,45
pitch,44
thursday,44
ass,44
car,44
drunk,44
population,44
chemical,44
bit,44
beautiful,44
Polish,44
brake,44
space,44
temper,44
surprised,44
strain,44
applaud,44
applause,44
swing,44
October,44
nervous,44
bet,44
variable,44
port,44
onion,43
shoes,43
cousin,43
shell,43
mistake,43
how,43
saturday,43
impression,43
age,43
when,43
Portugal,43
funny,43
quick,43
save,43
perfect,43
all,43
introduction,43
e-mail,43
tonight,43
problem,43
state,43
sometimes,43
sponsor,43
apple,43
december,43
July,43
chocolate,43
thousandth,43
Australia,43
I have no money.,43
tea,43
tomato,43
What?,43
negative,43
Stink,43
wait,43
deaf,43
disability,43
different,43
resolution,43
toilet paper,42
student,42
entitle,42
map,42
fountain,42
police,42
convict,42
concentration,42
reissue,42
I am an police officer.,42
dead,42
sister,42
Merry Christmas!,42
America,42
cone,42
suspend,42
movie,42
error,42
pizza,42
home,42
Time is up.,42
church,42
cheap,42
solid,42
boring,42
class,42
relapse,42
crazy,42
target,42
now,42
Wednesday,42
interpreter,42
ready,42
bitter,42
epilepsy,42
weak,42
country,42
people,42
soon,42
sign language,42
responsibility,42
scream,42
derivative,42
biscuit,42
equality,42
why,42
pair,42
hundred,42
bicycle,42
claim,42
fruit,42
shocked,42
animal,42
autumn,41
12,41
hopeless,41
still,41
reflect,41
sick,41
alcoholism,41
preschool class,41
diarrhea,41
500 000,41
not,41
win,41
elephant,41
boyfriend,41
rich,41
core,41
empty,41
A school for all,41
200 000,41
mad,41
absent-minded,41
900 000,41
The food is delicious.,41
Math is a difficult subject for me.,41
steal,41
if,41
dog,41
boots,41
finished,41
accident,41
bed,41
gear,41
gaze,41
end,41
school transport,41
new,41
fatigue,41
basement,41
haircut,41
yesterday,41
mother,41
minute,41
surprise,41
impossible,41
Spain,41
garlic,41
beard,41
pregnant,41
able,41
deposit,41
family,41
experienced,41
friday,41
play,41
odor,41
Please wait.,41
Goodbye!,41
Where can I find an ATM?,41
hello,41
sun,41
daily,41
Where is McDonalds?,41
grandfather,41
slowly,41
Israel,41
big,41
angry,41
Coca-cola,41
history,41
ambulance,41
sex abuse,41
dye,41
children’s song,41
Greece,41
tree,41
sting,41
man,41
coffee,41
Where to?,41
June,41
appointment,41
bright,40
update,40
ruler,40
expensive,40
ability to work,40
witch,40
piece,40
winter,40
christmas,40
gripe,40
Okay!,40
pregnancy,40
surgery,40
3,40
breakfast,40
plentiful,40
"Public education, State education",40
good,40
I am a secretary.,40
rapid,40
red,40
friend,40
oral examination,40
pattern,40
living,40
young,40
coincide,40
cinema,40
good morning,40
70,40
online,40
satisfied,40
moustache,40
700 000,40
exchange,40
more,40
coward,40
domain,40
death,40
stupid,40
thank,40
book,40
court of law,40
moral,40
nice,40
night,40
doctor,40
taxi,40
zero,40
beer,40
town,40
wi-fi,40
16,40
result,40
I love you.,40
Switzerland,40
maximum,40
19,40
nonrefundable,40
stepfather,40
20,40
action,40
ugly,40
May,40
90,40
400 000,40
week,40
Poland,40
cruel,40
reflection,40
cake,40
Cochlear implant,40
Time flies.,40
daddy,40
agriculture,40
independence,40
Six O&#39;clock,40
independent,40
4,40
Since,40
inquiry,40
green,40
stubbornness,40
triangle,40
cancer,40
tv,40
paper,40
grandmother,40
drop,40
baby,40
trouble,40
pink,40
cards,40
last year,40
king,40
detect,40
care institution,40
old,40
alcohol,40
modern,40
hospital,40
pineapple,40
always,40
17,40
without,40
hours of work,40
sunday,40
picture,40
today,40
The flight has been cancelled.,40
British,40
yard,40
strawberry,40
again,40
weird,40
checkup,40
Murder,40
The sun is hot.,40
hamburger,40
dancing,39
homeless person,39
happy,39
Where does it hurt?,39
hotel,39
disobedient,39
scholarship,39
I am glad to see you.,39
crab,39
heart attack,39
easy,39
"deceive, to",39
hand,39
decline,39
grandparents,39
normal,39
strong,39
sport,39
off,39
shut up,39
honey,39
ticket,39
WC,39
physical disability,39
sugar,39
dollar,39
France,39
duty,39
higher education studies,39
shirt,39
Thank you for dining with us.,39
300 000,39
to begin,39
The service is lousy.,39
Where can I find a doctor?,39
strict,39
host,39
oath,39
not allowed,39
pot,39
hunger,39
once more,39
decide,39
cure,39
22,39
spider,39
Have you ever been to Japan?,39
petrol station,39
grow,39
handsome,39
grey,39
early,39
Happy Mothers Day,39
giraffe,39
greedy,39
dinosaur,39
pimple,39
skiing,39
I appreciate your help.,39
It rained yesterday.,39
shampoo,39
almost,39
allergy sufferer,39
Let&#39;s go to the zoo.,39
15,39
14,39
18,39
airport,39
infection,39
unexpected,39
computer,39
catch,39
India,39
800 000,39
5,39
aunt,39
condom,39
Anything for dessert?,39
skinny,39
Netherlands,39
finger,39
carrot,39
confidentiality,39
forest,39
afternoon,39
weekly,39
late,39
panel,39
at home,39
already,39
for free,39
stepmother,39
100,39
bike,39
classroom,39
Open the window.,39
invited,39
snow,39
Can I take your order?,39
stomach ache,39
fever,39
close down,39
child,39
lose,39
10 000,39
zebra,39
6,39
frequently,39
twitter,39
must,39
low,39
cocaine,39
coffee spoon,39
No talking during the test.,39
ADHD,39
brother-in-law,39
colourful,39
fortunate,39
certificate of vaccination,39
garden,39
apart,39
university,39
maternity leave,39
tuesday,39
addiction,39
Do you know a good barber shop?,39
barbecue,39
cancel,39
cafeteria,39
cancellation,39
ignore,39
acknowledgement,39
Do you speak German?,39
Do you have interpreted services?,39
wrong,39
68,39
lesbian,39
medical care,39
600 000,39
corpse,39
near,39
next year,39
calm,39
follow,38
How much does he owe?,38
measles,38
11,38
send,38
you,38
bad,38
My friends are partying.,38
oxygen,38
with,38
ashamed,38
tennis,38
report,38
discomfort,38
driver,38
calendar,38
assistant,38
cherry,38
expiration date,38
best friend,38
Have you been baptized?,38
tomorrow,38
broken,38
car hire,38
This is fantastic!,38
business,38
so-so,38
take a chance,38
seamstress,38
but,38
balloon,38
yawn,38
Open the door.,38
rude,38
Where can I find a hospital?,38
shame,38
too,38
snail,38
procrastinate,38
monkey,38
Call me later.,38
I go to church every Sunday.,38
Where are you going?,38
farewell,38
exist,38
jealous,38
apron,38
heavy,38
Italy,38
argue,38
experiment,38
fox,38
around,38
broadcast,38
to travel,38
bag,38
What is your name?,38
School Bus,38
octopus,38
chair,38
football,38
I have run out of medicine.,38
camping ground,38
nosebleed,38
private,38
worn out,38
candy,38
captain,38
capture,38
1000,38
Hi!,38
read,38
hate,38
meeting,38
religion,38
language,38
wow,38
The baby is cute.,38
grateful,38
diabetes,38
tiger,38
careful,38
reading,38
shopping,38
drug addiction,38
same,38
stubborn,38
month,38
13,38
left,38
attribute,38
forgive,38
former,38
food allergy,38
eye exam,38
delayed,38
awful,38
understood,38
salt,38
radio,38
need,38
room,38
dining room,38
at last,38
tired,38
health insurance,38
cemetery,38
scissors,38
atm,38
listen,38
health,38
bucket,38
neat,38
grilled,38
cause,38
drunkenness,38
lemon,38
meat,38
fork,38
train,38
deny,38
deodorant,38
accessibility,38
class hours,38
60,38
Magnify,38
Defeat,38
water,38
never,38
afraid,38
theatre,38
blond,38
future,38
Professional experience,38
advertising,38
both,38
enough,38
a little,38
scared,38
don&#39;t like,38
finish,38
Do you have a boyfriend?,38
crust,38
"watch, to",38
finger Injury,38
shop,38
mathematics,38
compromise,38
inequality,38
compulsory education for pupils with learning disabilities,38
twelve o&#39;clock,38
28,38
electrical power,38
girlfriend,38
aggression,38
girl,38
story,38
preschool education,38
inclusion,38
Finland,38
find,38
confession,38
totally exhausted,38
or,38
impairment,38
ignorant,38
Do you want to go the movies?,38
teach,38
slim,38
stuffed animal,38
Egypt,38
weed,38
open,38
66,38
sad,38
I&#39;m broke.,38
idiot,38
ski,38
academy,38
ship captain,38
accomplish,38
courage,38
hungry,38
crime,38
converse,38
69,38
bored,38
30,38
30 000,38
Revolve,38
Do you hear music?,38
I am out of gas.,38
embarrass,38
cookie,38
Do you use a hearing aid?,38
rainbow,38
risk,38
abortion,38
67,38
England,38
3000,38
actor,38
inflate,38
I do not like this.,38
Policeman,38
widespread,38
drawing,38
announcement,38
internet connection,38
day and night,38
want,38
Who are you pregnant with?,38
animation,38
good-looking,38
holiday,38
anger,38
Period,38
fridge,38
dance,38
money,38
hole,38
disrespect,38
Cerebral palsy,38
"stop, to",38
interview,38
swim,38
oven,38
disease,38
government,38
window,38
east,38
Where is the museum?,38
cleanliness,38
McDonald&#39;s,38
clever,38
antenna,38
hide,38
willingly,38
exam,38
Where is the subway?,38
evil,38
Place,38
How old are you?,38
educated,38
dad,38
eight,38
god,38
pig,38
where,38
equal,38
homework,38
electric,38
cut flowers,38
teaspoon,38
allergy,38
what,38
original,38
alive,38
proud,38
Police Station,38
comfortable,38
equality between women and men,38
our,38
five O&#39;clock,38
egg,38
instant,38
diversity,38
doorbell,37
feeling,37
music,37
vaccination,37
vase,37
school play,37
guillotine,37
nanny,37
favourite,37
faultless,37
uploading,37
1000000,37
unpleasant,37
South America,37
shock,37
fed up,37
until,37
I enjoy sitting in the sun.,37
Mother&#39;s day,37
Let&#39;s you and i go to a restaurant.,37
don’t know,37
birthday boy,37
I feel dizzy.,37
Mexico,37
grief,37
flower,37
flag,37
I do not understand.,37
national park,37
upset,37
I enjoy riding a train.,37
plate,37
Smoking is not allowed.,37
trousers,37
possible,37
fruit salad,37
frozen,37
Is breakfast included?,37
front garden,37
gold,37
Please help me.,37
Please fasten your seatbelt.,37
Is it true?,37
frog,37
erect,37
sister-in-law,37
morning,37
twice,37
twin,37
2,37
several,37
two hundred,37
economic,37
two o&#39;clock,37
eating room,37
scorpion,37
fun,37
My aunt lives in town.,37
electrician,37
genuine,37
generation,37
strange,37
employed,37
employee,37
Refuse,37
turn off,37
Remind,37
Put,37
email,37
truth,37
enemy,37
Pupil participation,37
silver,37
get worse,37
engine,37
If you break the law you might go to jail.,37
elevated temperature,37
envelope,37
gigantic,37
I work six days a week.,37
six,37
I need to send an email.,37
It is 10 to 9:00.,37
easter,37
grapes,37
See you.,37
I hear music through its vibrations.,37
train station,37
punctual,37
Keep smiling.,37
drum,37
very,37
I have not seen you in a long time.,37
sea,37
She and I discussed it.,37
fake,37
force,37
fall,37
necessary,37
I have an appointment at 2:30.,37
My nose is runny.,37
My name is..,37
birthday girl,37
I have a cough.,37
farmer,37
I like chocolate.,37
understanding,37
eye,37
e-mail address,37
free of charge,37
potato,37
neighbor,37
earache,37
ear infection,37
scientist,37
ear,37
umbrella,37
uncle,37
Notepad,37
dvd,37
gents toilet,37
Japan,37
dyslexia,37
four O&#39;clock,37
export,37
dysfunctional family,37
four,37
granddaughter,37
reply,37
beside,37
home nursing,37
blood donor,37
complain,37
alzheimer´s disease,37
injury,37
Completed education,37
committee,37
communication,37
midnight,37
spaghetti,37
Continuous assessment,37
sewing,37
blood test,37
information,37
terrorist,37
bind,37
alarm,37
infant,37
Cuba,37
conceit,37
21,37
person,37
confused,37
inauguration,37
Denmark,37
insist,37
amnesia,37
anaesthesia,37
white wine,37
click,37
climate,37
pepper,37
soup,37
ant,37
menu,37
previous,37
anonymous,37
clinic,37
internet,37
animal behaviour,37
international,37
40,37
angel,37
sauce,37
ancient,37
insurance salesman,37
China,37
percentage,37
selfish,37
signature,37
blood,37
Did you bring the dessert?,37
cleaner,37
omit,37
rice,37
crocodile,37
quarantine,37
European Union,37
petrol,37
house,37
hour,37
scarf,37
Farewell!,37
29,37
You must not interrupt.,37
"advice, to",37
cucumber,37
horse,37
cup,37
You have a big alcohol problem.,37
old-fashioned,37
theft,37
curious,37
curly,37
curly hair,37
27,37
hurt,37
supper,37
ice,37
acceptable,37
advice,37
Did you see the woman?,37
consume,37
advanced,37
adult,37
adoption,37
important,37
surname,37
addicted,37
Do you speak English?,37
Do you speak French?,37
actress,37
corn,37
pet,37
illustration,37
corruption,37
acne,37
achievement,37
couch,37
sew,37
wedding,37
investment,37
anxiety,37
honeymoon,37
Application fee,37
parental cooperation,37
bathroom,37
sexual harassment,37
brother,37
yoghurt,37
tall,37
yet,37
brush teeth,37
tale,37
bull,37
telephone,37
cafe,37
barber,37
Are you a member of the church?,37
bus driver,37
bus stop,37
banana,37
ban,37
television,37
Are you studying or are you working?,37
ball,37
buy,37
serious,37
best,37
battery charger,37
battle,37
7,37
booking,37
born,37
8,37
8 000,37
bell,37
believe,37
800,37
9 000,37
boy,37
90 degrees,37
900,37
6 000,37
run,37
bedroom,37
salad,37
Admitted,37
rape,37
psychology,37
breast milk,37
bridge,37
500,37
badly,37
anxious,37
arrest,37
kilometer,37
work table,37
certify,37
association,37
sandwich,37
sorry,37
word,37
skin,37
sign language interpreter,37
chef,37
priest,37
letter,37
arm,37
arise,37
childlike,37
children&#39;s party,37
chip,37
jealousy,37
circle,37
appetite,37
Can I use the toilet?,37
apartment,37
certificate,37
principal,37
center,37
censorship,37
Assessment,37
bewilder,37
Audiologist,37
camera,37
written test,37
leave,37
50,37
leading,37
participate,37
Basic education,37
pale,37
painter,37
language barrier,37
automatic,37
autism,37
lamp,37
5 000,37
ten,37
world,37
celebrate,37
knife,37
Forgive me.,37
Youtube,37
I am an actor.,37
nurse,37
Where are your boyfriend?,37
We have a test tomorrow.,37
Where can I find a veterinarian?,37
toothbrush,37
helicopter,37
offline,37
slow,37
There are only 2 million people in our country.,37
Where do I buy tickets?,37
Where do you live?,37
school lecture,37
Where do you work?,37
mixer,37
I am hard of hearing.,37
headache,37
I am hungry.,37
departure,37
This guy is full of energy!,37
reduction,37
deadline,37
high,37
He is an atheist.,37
I am just visiting.,37
depressed,37
to understand,37
Where?,37
25,37
discussion,37
shy,37
speed,37
What does it eat?,37
director,37
He is an idiot.,37
diploma,37
together,37
What are you going to order?,37
health consultant,37
three,37
Were any bones broken?,37
delegate,37
I am a firefighter,37
hearing,37
heal,37
The airports is closed due to fog.,37
Where are the dressing rooms?,37
short film,37
thong,37
Thank Your Grandparents,37
What time does the bus arrive?,37
What time does the train leave?,37
visual impairment,37
heartburn,37
What would you like to order?,37
What would you recommend?,37
He won a silver medal.,37
When does it close?,37
hairgrowth,37
revise,37
Where is the theatre?,37
dawn,37
Give me a kiss.,37
dizziness,37
thin,37
spinach,37
thief,37
school,37
speech impairment,37
Home For The Holidays.,37
obsessed,37
home game,37
I am majoring in Theater.,37
school nurse,37
spoon,37
I am not so good in your sign language.,37
hang,37
600,37
style,37
homeless,37
total,37
diamond,37
Stop writing.,37
diabetic,37
homesick,37
cute,37
development,37
observe,37
to,37
do,37
Give me a new chance.,37
to meet,37
desert,37
school newspaper,37
Wait!,37
war,37
Superman,37
Why not?,37
dark-haired,37
promise,37
thousand,37
divorced,37
attention,36
attack,36
room service,36
camera lens,36
note down,36
notebook,36
My wife is in the hospital.,36
casino,36
My sign language has already improved.,36
difficult,36
certain,36
central,36
automobile,36
back pain,36
chapter,36
temperature,36
attractive,36
camcorder,36
attract,36
please tell me,36
pain,36
snake,36
There is a full moon tonight.,36
diet,36
Slow down and make a right turn.,36
peanut,36
Sixty thousand people live in my city.,36
pear,36
shave,36
tiny,36
New Year,36
room rate,36
panic,36
digital library,36
shark,36
Nine o&#39;clock,36
dictionary,36
pinch,36
The flight has been delayed an hour.,36
astonish,36
Singer,36
authorization,36
familiar,36
asthma,36
They have 11 children.,36
chalk,36
This is not important.,36
team,36
sudden,36
Would you like to dance?,36
dirty,36
brave,36
Maybe it will snow tomorrow.,36
sexy,36
Sunset,36
fifty,36
tourist,36
fiftieth anniversary,36
Memorize,36
Memory,36
breathless,36
Susan is not respectful to the teacher.,36
bring,36
divide,36
battery,36
noun,36
purple,36
towel,36
Mike is a hard-working student.,36
besides,36
because,36
My monitor is dead.,36
rumour,36
part-time,36
parrot,36
Stop here.,36
fire,36
teamwork,36
border,36
Stitches,36
beige,36
box,36
boxing,36
May I borrow your car?,36
birthday,36
done,36
responsible,36
door,36
brace,36
tough,36
toothpaste,36
bronchitis,36
broom,36
feel sick,36
Shine,36
unlimited,36
bank,36
bus terminal,36
discriminate,36
dressed up,36
Thank you.,36
payment,36
take,36
dried flower,36
pie,36
farmer&#39;s market,36
farm,36
"disagree, to",36
nutrient,36
bad habits,36
fantasy,36
school health service,36
Multiple disabilities,36
discrimination,36
pneumonia,36
"feel like, to",36
restaurant,36
restless,36
Taking time out,36
basic needs,36
fear,36
building,36
pillow,36
burst into tears,36
bulletin board,36
father,36
birth,36
paralysis,36
simultaneous,36
barbecue grill,36
take care of,36
cheek,36
cigarette,36
underground,36
passion,36
enormous,36
bleed,36
contagious,36
river,36
safe,36
contribute,36
contribution,36
text,36
address,36
Why do you say that?,36
newspaper,36
cooperative teaching,36
coordinator,36
adaptation,36
day centre,36
eat,36
corner,36
daughter,36
summer,36
contact lens,36
oh!,36
Russia,36
alert,36
each,36
album,36
compliment,36
roast,36
compulsory attendance at school,36
compulsory insurance,36
computer virus,36
twelve,36
air,36
aids,36
confidence,36
early detection,36
Where can I rent a car?,36
connect,36
consciousness,36
personal assistance,36
strike,36
acknowledge,36
What times are the services?,36
nobody,36
eleven O&#39;clock,36
tremor,36
Your girlfriend looks nice.,36
World Cup,36
electricity,36
scooter,36
phobia,36
eighty,36
"Would that be large, medium or small?",36
ship,36
elder,36
election,36
pharmacist,36
place of work,36
sunglasses,36
old woman,36
trophy,36
currently,36
cycle store,36
cycling,36
egoistic,36
eggplant,36
pet care,36
darkness,36
course,36
onto,36
cow,36
dangerous,36
think,36
academic year,36
With or without onions?,36
Rent,36
once,36
Report,36
Reporter,36
blank,36
try,36
ability,36
the other way round,36
this year,36
What time does the plane takeoff?,36
pen,36
sleepwalking,36
approximate,36
appointment card,36
appointment book,36
exhibition,36
customer,36
appear,36
city,36
Warming By The Fireplace.,36
swimming,36
We had a family reunion last summer.,36
pension,36
drug user,36
pulse,36
clay,36
Wash your face.,36
antibiotic,36
Wash your hands.,36
Page,36
Very interesting.,36
choice,36
tight,36
chilli sauce,36
Norway,36
chemotherapy,36
artificial flowers,36
chest,36
public library,36
arrive,36
chief physician,36
arrival,36
drown,36
child health,36
Nothing happens.,36
expert,36
owl,36
detergent,36
uncoloured,36
architecture,36
detain,36
example,36
nose,36
equaly opportunity,36
erase,36
thoughtful,36
dementia,36
outing,36
anal sex,36
delete,36
amusement,36
collaborate,36
collection,36
amen,36
examination,36
passport control,36
combination,36
Please repeat.,36
alphabet,36
ouch,36
commitment,36
What is the temperature?,36
alone,36
analysis,36
coast,36
storage room,36
blue cheese,36
Pardon me.,36
exactly,36
physical education,36
Welcome!,36
evidence,36
everybody,36
anorexia,36
biking,36
sweets,36
every day,36
evening,36
dry,36
annual,36
cloth,36
dry fruit,36
Well done!,36
two,36
doll,36
"turn, to",36
Can we reserve a table?,36
hair dye,36
Did you pass or fail?,36
weekend,36
I´m fine,36
gymnastics,36
habit,36
program,36
I am divorced.,36
second-hand,36
hair gel,36
I am afraid of thunderstorms.,36
I am afraid,36
lion,36
Do you have a room for me?,36
Do you have any brochures?,36
measuring error,36
I am a housewife.,36
I am looking for a new job.,36
in front of,36
start,36
relationship,36
It is OK.,36
I do not believe you.,36
I did not order that.,36
It is beautiful today.,36
individual development,36
I cannot fasten my belt.,36
medical chart,36
guidedog,36
I bought a new house two years ago.,36
I am single.,36
income,36
incapacity for work,36
I am majoring in History.,36
fraud,36
library,36
I am a doctor.,36
fortnight,36
90 000,36
special needs education,36
Drop-out,36
lovely,36
"A table for two, please",36
preparation for school,36
ice cream,36
weary,36
i want this,36
sneaker,36
hair ribbon,36
watermelon,36
hygiene,36
husband,36
museum,36
humble,36
recycling,36
fold,36
shorter,36
look for,36
illegal work,36
poor,36
hair-straightener,36
Do you have your ticket?,36
measurement,36
forgiveness,36
All gone.,36
half,36
forget,36
Do you want a beer?,36
imagination,36
lonely,36
Do you want a soft drink?,36
foreign,36
mineral water,36
Do you want sweet or unsweet tea?,36
illness,36
quiet,36
learn,36
monday,36
price,36
is this the road to the town?,36
I need to go to the bank.,36
I&#39;m looking for a room,36
social group,36
social exclusion,36
gender identity,36
Canada,36
I lost my umbrella.,36
frequency,36
kitchen,36
reception,36
sentence,36
kitten,36
gas station,36
grandson,36
intellectual development,36
geography,36
mental illness,36
jam,36
get,36
I went to a school for hearing children.,36
glove,36
Brush your hair,36
juice,36
give,36
Bulgaria,36
go out,36
wish,36
gifted,36
ghost,36
CD,36
get sacked,36
primary school,36
just in case,36
jeans,36
I lent my typewriter.,36
real,36
I haven’t seen him for ages.,36
mountain bike,36
which,36
programme,36
I had to pay a parking fine.,36
fringe,36
laugh,36
wheelchair,36
whale,36
I feel lousy.,36
silver anniversary,36
ingredient,36
lazy,36
influenza,36
Could you take my luggage up to my room/to the taxi?,36
leaf,36
fresh,36
last week,36
medium,36
moon,36
laptop,36
know,36
grass,36
printer,36
I have nothing to do.,36
institute,36
Cigarette Smoking,36
shopkeeper,36
fully,36
song,36
Close your book.,36
fuck,36
Inside,36
frustration,36
I have a toothache.,36
son,36
vegetable,36
I´m going shopping,36
glasses spectacles,36
heterosexual,36
majority,36
26,36
he,36
Let´s go to the beach.,36
Have you bought your ticket?,36
62,36
high blood pressure,36
walk,36
soap,36
user,36
home help services,36
23,36
heater,36
first,36
Foreign language,36
70 000,36
700,36
Follow me.,36
politics,36
red cross,36
socks,36
headcold,36
modern art,36
warn,36
400,36
He goes to the movies every Tuseday.,36
healthy,36
health protection,36
40 000,36
He is 87 years old.,36
Europe,36
hoe,36
Give me a hug.,36
He works hard at his job.,36
make contact,36
warning,36
Gallaudet university was the first university for Deaf people,36
hearing impariment,36
society,36
Good night!,36
Good!,36
nail polish,36
flirt,36
make-up,36
mobile phone,36
self control,36
mail carrier,36
happy birthday,36
mushroom,36
Leave me alone.,36
however,36
married,36
hero,36
hard of hearing,36
housekeeper,36
9,36
her,35
green pepper,35
not graded,35
I have a sore throat.,35
Shirt and shoes are required.,35
colour TV,35
school year,35
pizza maker,35
database,35
Happy Valentines Day,35
go,35
drool,35
mid,35
I have been waiting for 20 minutes.,35
What is the soup of the day?,35
insect,35
What is the church address?,35
education,35
ambulance attendant,35
What does that mean?,35
struggle,35
higher education,35
outdoor sports,35
I have seen this movie three times.,35
What is your phone number?,35
quota,35
I have not shaved yet.,35
santa claus,35
I have not eaten yet.,35
monthly,35
suicide,35
photo,35
drug prevention,35
